station_name,amphoe,tambon,station_id,station_type,party_number,party_name,score
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,23,ปวงชนไทย,9
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,24,วิชชันใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,25,เพื่อชีวิตใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,26,คลองไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,27,ประชาธิปัตย์,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,28,ไทยก้าวหน้า,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,29,ไทยภักดี,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,30,แรงงานสร้างชาติ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,31,ประชากรไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,32,ครูไทยเพื่อประชาชน,6
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,33,ประชาชาติ,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,34,สร้างอนาคตไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,35,รักชาติ,9
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,36,ไทยพร้อม,44
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,37,ภูมิใจไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,38,พลังธรรมใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,39,กรีน,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,40,ไทยธรรม,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,41,แผ่นดินธรรม,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,42,กล้าธรรม,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,43,พลังประชารัฐ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,44,โอกาสใหม่,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,45,เป็นธรรม,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,46,ประชาชน,319
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,47,ประชาไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,48,ไทยสร้างไทย,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,49,ไทยก้าวใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,50,ประชาอาสาชาติ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,51,พร้อม,3
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,52,เครือข่ายชาวนาแห่งประเทศไทย,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,53,ไทยพิทักษ์ธรรม,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,54,ความหวังใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,55,ไทยรวมไทย,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,56,เพื่อบ้านเมือง,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,57,พลังไทยรักชาติ,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,1,ไทยทรัพย์ทวี,2
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,2,เพื่อชาติไทย,8
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,3,ใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,4,มิติใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,5,รวมใจไทย,2
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,6,รวมไทยสร้างชาติ,7
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,7,พลวัต,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,8,ประชาธิปไตยใหม่,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,9,เพื่อไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,10,ทางเลือกใหม่,12
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,11,เศรษฐกิจ,3
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,12,เสรีรวมไทย,3
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,13,รวมพลังประชาชน,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,14,ท้องที่ไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,15,อนาคตไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,16,พลังเพื่อไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,17,ไทยชนะ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,18,พลังสังคมใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,19,สังคมประชาธิปไตยไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,20,ฟิวชั่น,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,21,ไทรวมพลัง,160
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,22,ก้าวอิสระ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,23,ปวงชนไทย,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,24,วิชชันใหม่,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,25,เพื่อชีวิตใหม่,7
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,26,คลองไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,27,ประชาธิปัตย์,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,28,ไทยก้าวหน้า,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,29,ไทยภักดี,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,30,แรงงานสร้างชาติ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,31,ประชากรไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,32,ครูไทยเพื่อประชาชน,4
